sub_sector,year,co2,ch4,n2o,co2e_100yr,co2e_20yr,sector
rice-cultivation,2017,0.0,3272290.0,0.0,91624135,274872406,agriculture
rice-cultivation,2018,0.0,3455752.0,0.0,96761060,290283182,agriculture
rice-cultivation,2019,0.0,3953007.0,0.0,110684202,332052607,agriculture
rice-cultivation,2020,0.0,3987151.0,0.0,111640255,334920765,agriculture
rice-cultivation,2021,0.0,3596814.0,0.0,97833346,290622588,agriculture
rice-cultivation,2022,0.0,4248867.0,0.0,115569188,343308471,agriculture
net-forest-land,2016,79764965.0,0.0,0.0,79764965,79764965,forestryAndLandUse
net-forest-land,2017,42328764.0,0.0,0.0,42328764,42328764,forestryAndLandUse
net-forest-land,2018,-100001817.0,0.0,0.0,-100001817,-100001817,forestryAndLandUse
net-forest-land,2019,16945688.0,0.0,0.0,16945688,16945688,forestryAndLandUse
net-forest-land,2020,-85120589.0,0.0,0.0,-85120589,-85120589,forestryAndLandUse
net-forest-land,2021,-8423202.0,0.0,0.0,-8423202,-8423202,forestryAndLandUse
net-forest-land,2022,-50050521.0,0.0,0.0,-50050521,-50050521,forestryAndLandUse
copper-mining,2015,186648.0,0.0,0.0,186648,186648,mineralExtraction
copper-mining,2016,184775.0,0.0,0.0,184775,184775,mineralExtraction
copper-mining,2017,189145.0,0.0,0.0,189145,189145,mineralExtraction
copper-mining,2018,220357.0,0.0,0.0,220357,220357,mineralExtraction
copper-mining,2019,182278.0,0.0,0.0,182278,182278,mineralExtraction
copper-mining,2020,34863.0,0.0,0.0,34863,34863,mineralExtraction
copper-mining,2021,95132.0,0.0,0.0,95132,95132,mineralExtraction
copper-mining,2022,54426.0,0.0,0.0,54426,54426,mineralExtraction
enteric-fermentation-cattle-feedlot,2015,0.0,3805276.0,0.0,103503523,307466349,agriculture
enteric-fermentation-cattle-feedlot,2016,0.0,3942546.0,0.0,107237267,318557765,agriculture
enteric-fermentation-cattle-feedlot,2017,0.0,4061336.0,0.0,110468339,328155948,agriculture
enteric-fermentation-cattle-feedlot,2018,0.0,4176281.0,0.0,113594851,337443529,agriculture
enteric-fermentation-cattle-feedlot,2019,0.0,4274201.0,0.0,116258272,345355456,agriculture
enteric-fermentation-cattle-feedlot,2020,0.0,4325591.0,0.0,117656096,349507817,agriculture
enteric-fermentation-cattle-feedlot,2021,0.0,4440460.0,0.0,120780517,358789184,agriculture
enteric-fermentation-cattle-feedlot,2022,0.0,4440460.0,0.0,120780517,358789184,agriculture
oil-and-gas-refining,2015,68664950.0,3376.0,633.0,69424170,69429336,fossilFuelOperations
oil-and-gas-refining,2016,74216833.0,3636.0,683.0,75033464,75039086,fossilFuelOperations
oil-and-gas-refining,2017,76978843.0,3764.0,707.0,77823518,77829403,fossilFuelOperations
oil-and-gas-refining,2018,75119957.0,3668.0,689.0,75942980,75948795,fossilFuelOperations
oil-and-gas-refining,2019,75294212.0,3680.0,691.0,76119934,76125682,fossilFuelOperations
oil-and-gas-refining,2020,67166165.0,3274.0,615.0,67900460,67905686,fossilFuelOperations
oil-and-gas-refining,2021,71822004.0,3501.0,658.0,72607199,72612787,fossilFuelOperations
oil-and-gas-refining,2022,75564582.0,3684.0,692.0,76390692,76396571,fossilFuelOperations
residential-and-commercial-onsite-fuel-usage,2015,138557655.0,43568.0,12179.0,143005242,145432891,buildings
residential-and-commercial-onsite-fuel-usage,2016,143343749.0,45128.0,12443.0,147904785,150419541,buildings
residential-and-commercial-onsite-fuel-usage,2017,147675680.0,46379.0,13209.0,152474806,155058832,buildings
residential-and-commercial-onsite-fuel-usage,2018,153321947.0,45948.0,13548.0,158198940,160758508,buildings
residential-and-commercial-onsite-fuel-usage,2019,157246596.0,48696.0,13403.0,162161933,164875512,buildings
residential-and-commercial-onsite-fuel-usage,2020,155307232.0,48005.0,12149.0,159870928,162547090,buildings
residential-and-commercial-onsite-fuel-usage,2021,162163152.0,53483.0,12448.0,166959586,169942196,buildings
residential-and-commercial-onsite-fuel-usage,2022,173334079.0,56006.0,13497.0,178479101,181601987,buildings
rock-quarrying,2015,681.0,0.0,0.0,681,681,mineralExtraction
rock-quarrying,2016,964.0,0.0,0.0,964,964,mineralExtraction
rock-quarrying,2017,956.0,0.0,0.0,956,956,mineralExtraction
rock-quarrying,2018,812.0,0.0,0.0,812,812,mineralExtraction
rock-quarrying,2019,809.0,0.0,0.0,809,809,mineralExtraction
rock-quarrying,2020,876.0,0.0,0.0,876,876,mineralExtraction
rock-quarrying,2021,786.0,0.0,0.0,786,786,mineralExtraction
rock-quarrying,2022,765.0,0.0,0.0,765,765,mineralExtraction
wastewater-treatment-and-discharge,2015,0.0,6118991.0,50977.0,184840816,527453338,waste
wastewater-treatment-and-discharge,2016,0.0,6192367.0,52402.0,187272876,533993070,waste
wastewater-treatment-and-discharge,2017,0.0,6260666.0,54094.0,189633820,540177022,waste
wastewater-treatment-and-discharge,2018,0.0,6376337.0,54952.0,193099757,550119703,waste
wastewater-treatment-and-discharge,2019,0.0,6448508.0,56066.0,195415841,556476245,waste
wastewater-treatment-and-discharge,2020,0.0,6510885.0,56658.0,197319357,561872272,waste
wastewater-treatment-and-discharge,2021,0.0,6599521.0,57794.0,200102281,569617703,waste
wastewater-treatment-and-discharge,2022,0.0,6704114.0,58954.0,203338020,578709485,waste
